epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,55.8364,1.28661,2.17764,1.39439,0.37537,1,0.995,0.6965,1.14674,2.84768,1.18416,0.0005348,0.0005348,0.0005348
76,56.7353,1.12671,2.11149,1.03975,0.73713,1,0.995,0.4382,1.24714,2.69036,1.19656,0.000515,0.000515,0.000515
77,57.5636,1.0965,1.44205,1.24587,0.73713,1,0.995,0.4382,1.24714,2.69036,1.19656,0.0004952,0.0004952,0.0004952
78,58.3788,0.88961,1.46431,1.22755,0.73713,1,0.995,0.4382,1.24714,2.69036,1.19656,0.0004754,0.0004754,0.0004754
79,59.1132,0.81306,1.58714,1.02429,0.8564,1,0.995,0.34864,1.32682,2.66722,1.2116,0.0004556,0.0004556,0.0004556
80,59.8269,1.03308,1.26226,1.19817,0.8564,1,0.995,0.34864,1.32682,2.66722,1.2116,0.0004358,0.0004358,0.0004358
81,60.5733,0.91221,1.48554,0.97365,0.8564,1,0.995,0.34864,1.32682,2.66722,1.2116,0.000416,0.000416,0.000416
82,61.3444,0.77067,1.63604,1.04455,0.88163,1,0.995,0.34825,1.30685,2.74742,1.18056,0.0003962,0.0003962,0.0003962
83,62.0982,1.01012,1.3491,1.15168,0.88163,1,0.995,0.34825,1.30685,2.74742,1.18056,0.0003764,0.0003764,0.0003764
84,62.8712,1.16677,1.34557,1.2538,0.88163,1,0.995,0.34825,1.30685,2.74742,1.18056,0.0003566,0.0003566,0.0003566
85,63.58,1.30379,1.49851,1.23485,0.88462,1,0.995,0.42288,1.37146,2.74029,1.18725,0.0003368,0.0003368,0.0003368
86,64.266,0.9488,1.36964,1.10272,0.88462,1,0.995,0.42288,1.37146,2.74029,1.18725,0.000317,0.000317,0.000317
87,65.0096,0.74356,1.17455,0.9889,0.88462,1,0.995,0.42288,1.37146,2.74029,1.18725,0.0002972,0.0002972,0.0002972
88,65.7638,1.00626,1.17358,1.17907,0.74153,1,0.995,0.4975,1.40116,2.73242,1.19444,0.0002774,0.0002774,0.0002774
89,66.4796,0.91798,1.63285,1.24501,0.74153,1,0.995,0.4975,1.40116,2.73242,1.19444,0.0002576,0.0002576,0.0002576
90,67.2791,0.82891,1.26704,1.00377,0.74153,1,0.995,0.4975,1.40116,2.73242,1.19444,0.0002378,0.0002378,0.0002378
91,68.1443,0.73955,1.66884,0.93171,0.6794,1,0.995,0.4975,1.40367,2.76818,1.19821,0.000218,0.000218,0.000218
92,68.9359,1.04136,1.78458,1.13886,0.6794,1,0.995,0.4975,1.40367,2.76818,1.19821,0.0001982,0.0001982,0.0001982
93,69.749,0.91381,1.7745,1.11197,0.6794,1,0.995,0.4975,1.40367,2.76818,1.19821,0.0001784,0.0001784,0.0001784
94,70.5776,0.86126,1.6566,1.04664,0.49964,1,0.995,0.4975,1.4215,2.77003,1.18611,0.0001586,0.0001586,0.0001586
95,71.3482,1.15974,2.07687,1.2501,0.49964,1,0.995,0.4975,1.4215,2.77003,1.18611,0.0001388,0.0001388,0.0001388
96,72.5111,0.72791,1.46451,0.95437,0.49964,1,0.995,0.4975,1.4215,2.77003,1.18611,0.000119,0.000119,0.000119
97,74.0144,0.92071,1.6626,1.00514,0.4802,1,0.995,0.4975,1.44478,2.7657,1.18823,9.92e-05,9.92e-05,9.92e-05
98,75.0021,1.28826,2.0811,1.25087,0.4802,1,0.995,0.4975,1.44478,2.7657,1.18823,7.94e-05,7.94e-05,7.94e-05
99,75.7865,0.90818,1.79265,0.95183,0.4802,1,0.995,0.4975,1.44478,2.7657,1.18823,5.96e-05,5.96e-05,5.96e-05
100,76.5007,0.94053,1.61931,1.06293,0.82805,1,0.995,0.32693,1.47704,2.74065,1.19962,3.98e-05,3.98e-05,3.98e-05
